id,user_id,ip_address,user_agent,payload,last_activity
s4zatOpbcS5FvObCQlHaq1aeEyd5uNUBiQumRiUy,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,YTo1OntzOjY6Il90b2tlbiI7czo0MDoiRXNjVGkxa2tDR2d1Nks3SVlCUmtsbXVieDk1c3hZTjlrc0VvdmNRcSI7czo5OiJfcHJldmlvdXMiO2E6Mjp7czozOiJ1cmwiO3M6MjE6Imh0dHA6Ly8xMjcuMC4wLjE6ODAwMCI7czo1OiJyb3V0ZSI7czo0OiJob21lIjt9czo2OiJfZmxhc2giO2E6Mjp7czozOiJvbGQiO2E6MDp7fXM6MzoibmV3IjthOjA6e319czoxMzoiYXV0aGVudGljYXRlZCI7YjoxO3M6ODoidXNlcm5hbWUiO3M6NToiYWRtaW4iO30=,1769660677
0B7wtREfkWxAJzl3pz26q5KJoTA0uJdznPkH6Pmg,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,YTo1OntzOjY6Il90b2tlbiI7czo0MDoib1ZVazRrNDlwNjZaTW10bEdwOFpnYUtSN3ZSSDFYR3kxZ01ZQ2Q3aiI7czo5OiJfcHJldmlvdXMiO2E6Mjp7czozOiJ1cmwiO3M6MjE6Imh0dHA6Ly8xMjcuMC4wLjE6ODAwMCI7czo1OiJyb3V0ZSI7czo0OiJob21lIjt9czo2OiJfZmxhc2giO2E6Mjp7czozOiJvbGQiO2E6MDp7fXM6MzoibmV3IjthOjA6e319czoxMzoiYXV0aGVudGljYXRlZCI7YjoxO3M6ODoidXNlcm5hbWUiO3M6NToiYWRtaW4iO30=,1769671975
LEUBQ12mYrIS5AxJJgQxJ7KMyICdZp4BSgik7Xng,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,YTozOntzOjY6Il90b2tlbiI7czo0MDoiUDlBNEFZMHVjUGt2QjdxZUZlUkNlWVF2Znk2a0p5Qmo4WmVraFJJWSI7czo5OiJfcHJldmlvdXMiO2E6Mjp7czozOiJ1cmwiO3M6MjE6Imh0dHA6Ly8xMjcuMC4wLjE6ODAwMCI7czo1OiJyb3V0ZSI7czo0OiJob21lIjt9czo2OiJfZmxhc2giO2E6Mjp7czozOiJvbGQiO2E6MDp7fXM6MzoibmV3IjthOjA6e319fQ==,1769744492
