id,category,product_name,brand,specs,price,image_array
44,laptop,IP 5-10ID 2 IN 1 CI5,Lenovo,"I5 13420H/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11845,
45,laptop,IP 5-7LID 2 IN 1 CORE 5 OLED,Lenovo,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12795,
46,laptop,IP 5-7MID 2 IN 1 CORE 5 OLED,Lenovo,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",12795,
47,laptop,IP 5-11ID 2 IN 1 CORE 7,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/COSMIC BLUE",14345,
48,laptop,IP 5-12ID 2 IN 1 CORE 7,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14345,
49,laptop,IP 5-0DID 2 IN 1 CORE 7 OLED,Lenovo,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,
50,laptop,IP 5-7NID  2 IN 1 CORE 7 OLED,Lenovo,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,
51,laptop,IP 5-7PID 2 IN 1 CORE 7 OLED,Lenovo,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",14545,
52,laptop,IP DUET 3-2XID LEPASAN,Lenovo,"INTEL N200/8GB/256/W11+OHS21/11.5""2K IPS/TOUCH/LEPASAN/ABYSS BLUE",8795,
53,laptop,IP DUET 5-4MID LEPASAN,Lenovo,"I5 1335U/16GB/512/W11+OHS21/12.4"" 2.5K/TOUCH/PEN/LEPASAN/BL/STORM GREY",14950,
54,laptop,IP 3-6RID,Lenovo,"R3 7320U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6195,
55,laptop,FLEX 5-HNID,Lenovo,"R5 5500/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/STORM GREY",9945,
56,laptop,IP 1-9LID,Lenovo,"R5 5625/16GB/512/W11+OHS21/14""FHD/CLOUD GREY",7295,
57,laptop,IP 3-04ID,Lenovo,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,
